CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Carbon,mg/l,,APHA 5310-C,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,,1,1,
Organic carbon,mg/l,mg/l,21FLSFWM WQ-1,,,1,1,
Organic carbon,mg/l,mg/l,21FLSFWM_WQX SM5310B,SM5310B,,1,1,
Organic carbon,mg/l,mg/l,21FLSFWM_WQX WQ-1,Laboratory Procedures for Water Quality Chemical Analysis,,1,1,
Organic carbon,mg/l,mg/l,21FLSJWM_WQX OTHER/UNKNOWN,Other or Unknown Procedure,,1,1,
Organic carbon,mg/l,mg/l,APHA 10200-H,10200 H ~ Chlorophyll a-b-c Determination,,1,1,
Organic carbon,mg/l,mg/l,APHA 2540-D,2540 D ~ Total Suspended Solids in Water,,1,1,
Organic carbon,mg/l,mg/l,APHA 5310-B,5310 B ~ Total Organic Carbon by Combustion-Infrared Method,,1,1,Organic carbon in unfiltered water (TOC) by high-temperature combustion (SM5310B; DODESP) 
Organic carbon,mg/l,mg/l,APHA 5310-C,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,,1,1,
Organic carbon,mg/l,mg/l,APHA 5310-C,,,1,1,
Organic carbon,mg/l,mg/l,APHA 5310-D,5310 D ~ Total Organic Carbon in Water- Wet-Oxidation Method,,1,1,
Organic carbon,mg/l,mg/l,APHA_SM20ED 5310-B,5310 B ~ Total Organic Carbon by High-Temperature Combustion Method,,1,1,Organic carbon in unfiltered water (TOC) by high-temperature combustion (SM5310B; DODESP) 
Organic carbon,mg/l,mg/l,AZDEQ_SW EPA 415.1,EPA 415.1,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW EPA 415.2,EPA 415.2,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW SM 5210B,SM 5210B,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW SM 5220 C,SM 5220 C,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW SM 5310 B,SM 5310 B,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW SM 5310 C,SM 5310 C,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW UNKNOWN,UNKNOWN,,1,1,
Organic carbon,mg/l,mg/l,AZDEQ_SW WALKLEY BLACK,WALKLEY BLACK,,1,1,
Organic carbon,mg/l,mg/l,CEDEN 165,EPA 415.1M,,1,1,
Organic carbon,mg/l,mg/l,NA NA,,681,1,1,
Organic carbon,mg/l,mg/l,USEPA 120.1,Conductance,,1,1,
Organic carbon,mg/l,mg/l,USEPA 150.1,pH,,1,1,
Organic carbon,mg/l,mg/l,USEPA 170.1,Temperature,,1,1,
Organic carbon,mg/l,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1,1,
Organic carbon,mg/l,mg/l,USEPA 300(A),300 A  ~ Inorganic Anions by Ion Chromatography,,1,1,
Organic carbon,mg/l,mg/l,USEPA 365.4,Total Phosphorus After Block Digestion,,1,1,
Organic carbon,mg/l,mg/l,USEPA 415.1,Total Organic Carbon by Combustion,,1,1,Total Organic Carbon by Combustion
Organic carbon,mg/l,mg/l,USEPA 415.1,,,1,1,
Organic carbon,mg/l,mg/l,USEPA 415.2,Low Level Total Organic Carbon in Water,,1,1,Total Organic Carbon by Combustion
Organic carbon,mg/l,mg/l,USGS 00121,"DOC, CO2 formation & detection",681,1,1,
Organic carbon,mg/l,mg/l,USGS 121,"DOC, CO2 formation & detection",681,1,1,
Organic carbon,mg/l,mg/l,USGS COMB4,"Organic-C, combustion-IR method",681,1,1,
Organic carbon,mg/l,mg/l,USGS OX002,"DOC, persulfate oxidation & IR",681,1,1,
Organic carbon,mg/l,mg/l,USGS OX006,"DOC,0.45um cap,acid,persulfateIR",681,1,1,Organic carbon in unfiltered water by combustion or oxidation to CO2 and detection by IR spectrometry or reduction to CH4 and GC-FID 
Organic carbon,mg/l,mg/l,USGS OX007,"DOC, 0.45u silver, persulfate IR",681,1,1,
Organic carbon,mg/l,mg/l,USGS OX008,"DOC, 0.7um GFF,acid,persulfateIR",681,1,1,Organic carbon in unfiltered water by combustion or oxidation to CO2 and detection by IR spectrometry or reduction to CH4 and GC-FID 
Organic carbon,mg/l,mg/l,USGS OX024,"DOC, persulfate oxid, IR (COWSC)",681,1,1,
Organic carbon,mg/l,mg/l,USGS OX026,"DOC, wu, persulfate (SM5310C;CO)",681,1,1,
Organic carbon,mg/l,ug/l,AZDEQ_SW SM 5310 C,SM 5310 C,,1,0.001,
Organic carbon,mg/l,,1119USBR P681,,,1,1,Organic carbon in unfiltered water by combustion or oxidation to CO2 and detection by IR spectrometry or reduction to CH4 and GC-FID 
Organic carbon,mg/l,,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX EPA 3510C/8081A,ORGANOCHLORINE PESTICIDES,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX EPA 415.1,TOTAL ORGANIC CARBON,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX EPA 415.2,TOTAL ORGANIC CARBON,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX SM 5210B,"BIOCHEMICAL OXYGEN DEMAND, 5-DAY",,1,1,
Organic carbon,mg/l,,21ARIZ_WQX SM 5220 C,STANDARD METHOD 5220 C,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX SM 5310 B,DISSOLVED CARBON ANALYSIS,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX SM 5310 C,TOTAL CARBON ANALYSIS,,1,1,
Organic carbon,mg/l,,21ARIZ_WQX SM 5310 D,WET OXIDATION METHOD,,1,1,
Organic carbon,mg/l,,21FLSFWM WQ-1,,,1,1,
Organic carbon,mg/l,,APHA 5310-B,5310 B ~ Total Organic Carbon by Combustion-Infrared Method,,1,1,Organic carbon in unfiltered water (TOC) by high-temperature combustion (SM5310B; DODESP) 
Organic carbon,mg/l,,APHA 5310-B,,,1,1,
Organic carbon,mg/l,,APHA 5310-C,5310 C ~ Total Organic Carbon in Water- Ultraviolet Oxidation Method,,1,1,Organic carbon in unfiltered water (TOC) by high-temperature combustion (SM5310B; DODESP) 
